Baþlýk;Genel;Ýþlemci;;Ýþletim Sistemi;Hafýza / Bellek;;;Ekran;;;;Fiziksel;;;;Kamera;;;;Baðlantý;;;;;;;;Batarya;;Diðer;;
;Üretici;Model;Hýz;;RAM;Dahili Hafýza;Micro SD;Açýklama;Çözünürlük;Ekran Boyutu;Özellikler;Boyutlar (UxGxD);Aðýrlýk;Renkler;Suya Dayanýklýlýk;Açýklama;Megapixel;Özellikler;Ön Kamera Megapixel;Wifi;Bluetooth;GPS;Baðlantý Türü;Micro USB;SÝMBoyutu;SIM Sayýsý;3G Görüntülü Konuþma;Lityum Ýon;Deðiþtirebilir;SAR;Parmak Ýzi Okuyucu;Radyo
Apple iPhone 6 [A1549];Apple;Apple A8;1.4 GHz;iOS;1.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit IPS LCD, capacitive touchscreen, 16M colors;750 x 1334 pixels;4.70 inches;;138.10 x 67.00 x 6.90 mm ;129.00 gram;Gold,Gray, Silver;Yok;8 MP, 3264 x 2448 pixels, autofocus, dual-LED (dual tone) flash;8.0 megapixel;;;802.11 b / g / n;Evet, A2DP;Evet, A-GPS;4G,LTE;Hayýr;nano;1;Yok;0 mAh;Hayýr;;Var;Yok
Samsung Galaxy S6 [SM-G920V];Samsung;Exynos 7420;2.1 GHz;Android;3.0 GB;32 GB, 64 GB, 128 GB;;Super AMOLED capacitive touchscreen, 16M colors;2560 x 1440 pixel;5.10 inches;;143.40 x 70.50 x 6.80 mm ;138.00 gram;Siyah, Mavi, Gold, Mor, Kýrmýzý, Beyaz;Var;;16.0 megapixel;;;802.11 b / g / n;Evet;Evet;4G,LTE;Evet;nano;1;Var;2550 mAh;Hayýr;;Var;Var
Apple iPhone 5S [A1533];Apple;Apple A7;1.7 GHz;iOS;;16 GB, 64 GB,;;;;;;;;;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1570 mAh;Hayýr;;Var;Yok
"Apple iPhone 6S [A1688]
";Apple;Apple A9;1.5 GHz;iOS;2.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit widescreen;750 x 1334 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm;143.00 grams;Gold, Grey,Rose Gold,Silver;Yok;;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1715 mAh;Hayýr;;Var;Yok
Apple iPhone SE [A1662];Apple;Apple A9;1.8 GHz;iOS;2.0 GB;16 GB, 64 GB;;Retina HD | 326 ppi | LED-backlit IPS LCD, capacitive touchscreen, 16M colors;640 x 1136 pixels;4.00 inches;;123.80 x 58.60 x 7.60;113.00 grams ;Gold, Grey,Rose Gold,Silver;Yok; 12-megapixel iSight, 1.22µ pixels, True Tone flash, Digital Image Stabilization | Facetime Camera: 1.5 MP, ƒ/2.4 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1715 mAh;Hayýr;;Var;Yok
"Apple iPhone 6S Plus [A1687]
";Apple;Apple A9;1.5 GHz;iOS;2.0 GB;16 GB, 64 GB, 128 GB;;Retina HD | 3D Touch | 401 ppi | LED-backlit widescreen;1080 x 1920 pixels;5.50 inches;;158.20 x 77.90 x 7.30 mm ;192.00 grams ;Gold, Grey,Rose Gold,Silver;Yok;12-megapixel iSight | 1.22µ pixels | True Tone flash | Optical Image Stabilization;;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;2915 mAh;Hayýr;;Var;Yok
Apple iPhone 6 Plus  [A1522];Apple;Apple A8;1.4 GHz;iOS;1.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit IPS LCD, capacitive touchscreen, 16M colors;1080 x 1920 pixels;5.50 inches;;158.10 x 77.80 x 7.10 mm ;;Gold,Gray, Silver;Yok;8 MP, 3264 x 2448 pixels, optical image stabilization, autofocus, dual-LED (dual tone) flash;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;;Hayýr;;Var;Yok
Apple iPhone 5  [A1428];Apple;Apple A6;1.2 GHz;iOS;1.0 GB;16 GB, 32 GB,64GB;;;1136 x 640 pixels;4.00 inches;;123.80 x 58.60 x 7.60 mm ;112.00 grams ;Black,White;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;;Hayýr;;Yok;Yok
Apple iPhone 5C  [A1532];Apple;Apple A6;1.3 GHz;iOS;1.0 GB;8 GB, 16 GB, 32 GB;;;640 x 1136 pixels;4.00 inches;;;;Blue, Cyan, Green, Pink, Purple, Red, White, Yellow;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1510 mAh;Hayýr;;Yok;Yok
